Ziffer-Index;Erkannt als;Richtige Antwort:
1;5;2
3;9;0
4;3;4
6;7;4
7;5;9
9;0;9
11;2;6
12;7;9
14;7;1
15;2;5
16;5;9
18;7;3
19;5;4
20;7;9
22;9;6
23;7;5
24;3;4
27;2;4
28;9;0
29;7;1
30;7;3
31;7;1
32;2;3
33;0;4
37;7;1
38;6;2
39;7;1
40;7;1
42;7;4
44;7;3
45;2;5
46;7;1
47;5;2
48;5;4
49;0;4
50;4;6
51;7;3
53;2;5
54;2;6
55;9;0
56;2;4
57;7;1
59;2;5
61;5;8
62;7;9
63;7;3
65;7;4
66;9;6
67;5;4
68;2;3
73;7;9
74;7;1
77;7;2
78;7;9
80;2;7
84;5;8
85;5;4
87;2;3
88;9;6
89;7;1
90;2;3
91;2;6
92;7;9
94;7;1
95;9;4
96;7;1
98;5;6
99;2;9
102;7;5
103;5;4
104;2;9
105;3;9
107;2;1
108;2;9
109;5;4
110;5;8
112;7;3
113;2;9
116;7;4
117;5;4
118;5;9
119;7;2
120;2;5
121;9;4
123;9;6
125;2;9
126;5;0
128;7;8
129;7;5
130;9;6
131;5;6
132;2;5
134;7;8
135;7;1
136;9;0
137;2;1
138;9;6
139;7;4
140;2;6
142;2;3
143;7;1
145;7;1
146;7;8
147;5;2
149;5;2
150;3;9
151;0;9
153;7;5
154;7;1
156;7;6
157;9;0
158;2;3
159;5;4
160;7;4
161;0;6
162;7;5
163;2;4
164;9;6
165;9;5
166;9;4
167;7;5
168;7;1
169;3;4
170;2;4
171;2;7
173;2;3
174;7;2
177;2;8
178;7;1
179;2;8
180;7;1
181;2;8
182;7;5
183;5;0
184;2;8
185;5;9
187;2;5
189;7;1
190;7;1
191;7;1
192;2;0
193;7;9
194;9;0
195;2;3
196;7;1
197;7;6
198;7;4
200;2;3
201;9;6
202;7;1
203;7;1
204;7;1
205;2;3
206;5;9
207;9;5
209;2;9
210;5;4
212;2;9
213;7;3
214;7;9
215;3;0
216;2;3
217;5;6
218;7;5
219;3;5
220;5;7
221;3;2
226;7;8
227;7;4
228;2;1
231;7;3
232;2;8
233;7;8
235;3;9
236;7;2
237;5;2
238;5;4
239;7;1
240;2;5
242;2;8
244;7;2
245;9;3
247;2;4
248;7;4
249;7;2
250;2;4
251;7;1
252;5;9
253;7;5
257;7;8
258;0;2
259;9;6
260;5;8
261;2;5
264;7;9
265;7;1
266;2;8
267;7;1
268;9;8
269;9;0
270;8;3
271;9;0
272;7;1
273;5;9
274;2;9
275;2;4
276;7;1
277;9;8
278;7;2
279;7;1
280;5;2
281;5;9
283;7;5
284;2;9
285;7;2
286;2;6
287;5;4
288;7;1
289;6;5
290;2;8
292;2;9
293;7;2
295;2;4
297;9;0
298;5;2
299;2;8
300;2;4
302;7;1
303;7;2
304;7;4
305;2;0
308;7;4
309;8;3
310;2;3
312;9;0
313;2;3
314;7;1
315;5;9
316;5;6
317;7;5
318;0;2
320;7;9
321;7;2
322;2;9
323;7;3
324;5;0
325;7;4
327;3;0
329;7;1
330;7;1
331;7;2
332;7;1
333;7;5
334;2;3
335;7;3
336;2;9
338;5;8
339;2;6
340;3;5
341;7;6
342;7;1
343;0;3
344;7;8
345;7;1
346;7;0
347;2;5
348;7;1
349;7;3
350;7;1
351;2;5
352;0;5
353;9;6
354;7;1
355;5;8
356;8;5
357;7;1
358;2;7
359;5;9
360;2;4
361;9;6
362;7;2
364;2;5
366;9;6
368;9;6
369;2;3
372;9;0
373;2;8
374;7;8
375;2;5
376;2;4
377;7;1
378;7;1
379;5;4
380;5;0
381;7;3
382;2;3
384;2;6
385;7;1
386;9;6
387;7;2
388;2;1
389;7;9
390;5;2
391;7;8
392;9;6
393;7;1
394;5;9
395;2;5
396;7;2
397;2;5
398;5;4
399;5;4
401;2;8
402;9;3
403;5;8
405;5;4
406;9;5
407;5;0
408;2;3
409;7;1
412;2;5
414;2;9
416;7;1
417;7;9
418;7;2
420;5;4
421;3;2
422;7;9
423;7;2
425;7;4
426;7;9
427;7;1
428;5;4
429;7;8
430;7;1
431;7;8
432;2;4
433;7;5
434;7;9
435;7;8
436;7;8
437;2;3
439;2;6
441;9;0
442;2;3
443;7;0
444;7;2
445;0;6
446;0;6
447;5;4
448;7;9
449;2;3
450;7;3
451;7;3
453;2;3
454;3;9
455;7;1
457;3;6
458;7;8
460;7;5
461;7;6
463;9;6
464;7;3
465;7;8
466;5;8
467;7;2
469;2;5
470;7;8
471;7;9
472;9;6
474;7;8
475;5;4
476;7;1
478;2;5
479;2;9
480;7;1
481;2;9
483;2;5
484;2;4
485;5;0
486;2;8
487;2;9
488;7;9
489;7;1
490;5;0
491;7;5
493;2;3
495;0;8
496;2;9
497;7;4
498;7;0
499;7;6
500;2;3
501;2;9
502;3;5
503;9;2
504;7;1
505;7;3
506;2;1
507;7;3
508;5;6
509;7;5
511;7;4
512;7;2
513;7;2
514;2;6
515;2;3
517;9;6
518;7;5
519;7;4
520;7;8
521;7;9
522;2;7
523;7;1
524;2;3
526;2;3
527;2;8
528;2;3
529;7;1
530;2;9
531;7;3
532;7;4
533;2;4
534;9;6
535;5;4
536;7;2
537;7;1
538;2;8
539;5;2
540;7;5
541;5;4
542;2;8
543;2;8
544;7;4
545;5;0
548;7;3
549;9;2
552;2;0
553;7;8
555;7;4
556;5;4
558;5;9
559;9;6
560;7;9
561;3;0
562;3;9
563;7;8
564;9;0
565;7;4
566;7;6
567;9;0
568;9;6
569;9;3
570;2;5
571;5;4
572;7;8
573;2;3
574;7;3
575;5;9
576;2;3
577;2;3
578;7;3
580;7;8
581;7;0
582;2;8
583;9;2
584;7;1
587;9;6
588;2;5
589;7;4
590;8;3
591;2;8
593;7;9
594;9;6
595;9;3
596;2;8
598;7;9
599;2;9
600;2;6
601;2;8
602;5;6
603;7;8
604;7;5
606;2;8
607;9;6
608;2;0
609;7;2
610;9;4
611;9;0
612;7;2
613;1;2
614;7;3
615;2;1
616;7;9
618;2;5
619;7;1
621;7;8
622;9;4
623;9;6
625;9;6
627;5;9
628;2;3
629;0;2
630;3;9
631;7;8
632;6;2
633;5;2
634;5;9
637;2;3
639;5;9
640;7;1
641;5;8
642;9;0
643;7;2
644;9;0
645;3;5
647;7;1
648;2;3
650;5;6
652;7;1
653;7;2
655;7;8
657;2;3
658;5;7
659;7;2
660;5;4
661;7;0
662;7;9
663;7;1
664;5;8
665;9;6
668;2;4
669;7;3
670;7;4
672;7;1
673;0;9
674;6;5
675;7;1
677;9;3
678;2;9
680;9;6
681;2;9
682;7;1
684;2;7
685;5;8
686;7;3
687;2;3
688;2;6
689;2;7
690;7;2
691;2;8
692;7;5
693;7;8
694;7;5
695;7;1
696;7;1
697;3;4
698;3;4
699;2;3
700;7;1
704;5;0
706;7;9
707;9;4
708;7;4
709;7;8
710;7;5
711;2;5
714;2;8
715;7;2
716;7;1
717;5;0
718;7;8
719;2;4
720;7;5
721;5;0
722;0;4
723;3;0
725;7;1
727;2;3
728;7;2
729;0;6
730;5;7
731;5;2
732;9;6
733;2;9
734;7;3
735;7;1
736;2;4
737;0;6
739;7;5
740;3;4
741;7;2
743;2;6
745;7;1
747;7;3
749;7;1
751;2;5
752;7;4
753;6;3
754;7;1
755;7;1
757;7;4
758;5;9
759;7;9
760;7;4
761;7;8
762;9;4
763;9;0
764;7;2
765;7;4
766;2;5
767;7;1
768;7;1
769;4;6
770;5;4
771;5;7
772;7;1
773;2;9
774;2;4
775;7;2
776;9;4
777;7;1
779;7;5
780;2;3
781;2;8
782;2;3
783;7;1
784;7;4
785;2;5
786;9;6
787;2;8
788;7;9
789;2;4
790;7;1
791;2;5
792;9;3
793;7;8
795;7;3
796;0;2
797;7;5
798;7;1
799;7;2
800;9;8
801;9;3
802;5;4
803;5;4
804;5;0
805;7;8
806;2;8
807;2;3
808;9;3
809;7;1
811;7;3
813;7;9
814;9;6
815;7;3
817;0;6
818;7;1
819;9;3
820;9;6
823;5;2
824;7;1
826;7;1
827;7;4
829;7;4
830;5;2
831;7;1
833;5;9
834;2;6
835;7;1
836;2;1
837;7;2
838;5;4
839;5;8
840;7;1
841;9;7
843;5;4
844;7;8
845;2;0
846;5;7
847;2;3
848;2;1
849;9;3
850;7;1
855;2;3
856;2;5
857;2;5
858;7;2
859;5;7
860;9;6
861;9;6
862;3;9
863;5;2
864;5;8
