Ziffer-Index;Erkannt als;Richtige Antwort:
8;6;5
124;4;7
149;4;2
151;8;9
241;8;9
247;2;4
259;0;6
340;3;5
445;0;6
447;9;4
448;8;9
479;8;9
551;1;7
565;9;4
582;2;8
619;8;1
629;6;2
659;8;2
684;3;7
691;4;8
707;9;4
717;6;0
720;8;5
740;9;4
760;9;4
810;2;7
813;8;9
882;7;9
956;6;1
959;9;4
965;0;6
982;2;3
1003;3;5
1014;5;6
1032;8;5
1039;9;7
1044;8;6
1073;8;5
1107;3;9
1112;6;4
1114;8;3
1128;7;3
1166;2;3
1178;6;4
1181;1;6
1182;8;6
1192;4;9
1204;2;3
1226;2;7
1232;4;9
1242;9;4
1247;0;9
1260;1;7
1270;9;4
1283;2;7
1289;9;5
1299;7;5
1319;3;8
1326;2;7
1328;8;7
1378;6;5
1393;3;5
1414;4;9
1494;0;7
1500;1;7
1522;9;7
1527;6;1
1530;7;8
1549;6;4
1553;8;9
1581;9;7
1609;6;2
1621;6;0
1634;7;4
1681;7;3
1709;3;9
1754;2;7
1790;9;2
1828;7;3
1843;2;0
1901;4;9
1913;8;3
1938;6;4
1940;0;5
1941;8;7
1952;8;9
1984;0;2
2016;2;7
2024;9;7
2035;3;5
2040;6;5
2043;8;4
2044;7;2
2053;9;4
2098;0;2
2105;8;3
2109;7;3
2118;0;6
2129;2;9
2130;9;4
2135;1;6
2182;2;1
2185;5;0
2186;3;2
2189;1;9
2266;6;1
2272;0;8
2293;6;9
2325;2;7
2369;8;5
2387;1;9
2406;1;9
2422;7;6
2488;6;2
2560;2;3
2598;2;8
2607;1;7
2648;0;9
2654;1;6
2770;6;3
2771;9;4
2921;2;3
2925;0;5
2927;2;3
2939;5;9
2945;9;3
2979;7;9
2995;8;6
3005;1;9
3060;7;9
3073;2;1
3117;9;5
3136;9;7
3157;7;5
3189;4;7
3206;3;8
3225;1;7
3240;8;9
3422;0;6
3429;9;4
3437;9;4
3490;9;4
3503;1;9
3520;4;6
3549;2;3
3558;0;5
3559;5;8
3567;5;8
3597;3;9
3604;0;7
3718;9;4
3751;2;7
3757;3;8
3767;2;7
3776;8;5
3780;6;4
3806;8;5
3808;8;7
3811;3;2
3818;6;0
3838;1;7
3853;5;6
3855;0;5
3893;6;5
3902;3;5
3906;2;1
3926;3;9
3941;6;4
3943;5;3
3976;1;7
4000;8;9
4017;9;4
4065;8;0
4075;3;8
4078;3;9
4093;4;9
4152;1;5
4163;0;9
4176;7;2
4201;7;1
4211;5;6
4224;7;9
4238;9;7
4248;8;2
4256;2;3
4265;9;4
4289;7;2
4306;7;3
4313;9;4
4355;9;5
4356;8;5
4360;3;5
4433;3;7
4435;7;3
4437;2;3
4443;2;3
4477;6;0
4497;7;8
4498;4;7
4534;8;9
4536;5;6
4567;9;4
4571;8;6
4575;2;4
4578;9;7
4635;5;3
4690;2;7
4731;7;8
4735;4;9
4751;6;4
4761;8;9
4807;3;8
4814;0;6
4823;4;9
4837;2;7
4860;9;4
4874;0;9
4876;4;2
4880;8;0
4886;1;7
4915;8;5
4956;4;8
4966;1;7
4990;2;3
5067;2;3
5068;1;4
5140;2;3
5159;9;4
5165;3;0
5210;7;9
5246;2;7
5331;6;1
5409;2;4
5457;8;1
5495;3;8
5600;9;7
5617;9;4
5634;3;2
5642;5;1
5653;6;0
5734;7;3
5735;6;5
5749;6;8
5757;7;9
5842;7;4
5887;5;7
5888;0;4
5913;3;5
5936;9;4
5937;3;5
5955;8;3
5972;3;5
5973;8;3
6023;8;3
6035;5;2
6045;5;3
6046;8;3
6059;9;3
6065;8;3
6071;3;9
6081;3;9
6091;3;9
6157;5;9
6166;3;9
6168;3;9
6172;0;9
6173;8;9
6392;2;5
6426;6;0
6428;6;0
6505;0;9
6555;7;8
6560;3;9
6571;7;9
6577;2;7
6597;7;0
6598;3;5
6608;5;9
6625;7;8
6651;5;0
6765;6;8
6769;8;4
6785;6;2
6847;4;6
6926;4;6
7121;7;8
7216;6;0
7338;8;4
7432;2;7
7434;8;4
7451;6;5
7473;5;4
7797;6;5
7886;4;2
7921;1;8
8020;8;1
8081;6;4
8094;8;2
8095;6;4
8115;8;3
8183;5;8
8246;8;3
8272;8;3
8277;8;3
8296;8;3
8339;6;8
8408;6;8
8520;9;4
8522;6;8
8863;6;5
9009;2;7
9015;2;7
9019;2;7
9024;2;7
9036;2;7
9422;3;5
9482;3;5
9587;4;9
9634;8;0
9642;7;9
9643;7;1
9664;7;2
9669;5;4
9679;3;6
9692;7;9
9698;5;6
9700;8;2
9719;0;5
9729;6;5
9738;2;4
9741;7;9
9745;2;4
9749;6;5
9768;0;2
9770;0;5
9777;0;5
9779;0;2
9808;4;9
9839;7;2
9858;8;6
9890;4;9
9905;7;3
9944;8;3
9982;6;5
