Ziffer-Index;Falsch erkannt von
0;74
1;144
2;52
3;66
4;115
5;50
6;131
7;132
8;372
9;152
10;70
11;157
12;124
13;70
14;54
15;191
16;147
17;75
18;175
19;108
20;168
21;99
22;126
23;162
24;124
25;64
26;83
27;109
28;73
29;64
30;101
31;63
32;85
33;353
34;88
35;114
36;83
37;57
38;212
39;55
40;53
41;81
42;130
43;141
44;121
45;177
46;183
47;123
48;116
49;111
50;97
51;108
52;169
53;174
54;171
55;96
56;104
57;54
58;133
59;205
60;85
61;172
62;213
63;242
64;91
65;168
66;234
67;106
68;80
69;69
70;76
71;61
72;149
73;238
74;57
75;99
76;98
77;308
78;171
79;76
80;139
81;101
82;84
83;81
84;165
85;103
86;80
87;177
88;103
89;54
90;87
91;92
92;262
93;94
94;68
95;116
96;94
97;197
98;115
99;128
100;120
101;70
102;165
103;106
104;169
105;133
106;134
107;64
108;116
109;120
110;161
111;249
112;113
113;119
114;120
115;150
116;128
117;106
118;133
119;248
120;176
121;165
122;93
123;97
124;310
125;132
126;98
127;162
128;123
129;154
130;89
131;94
132;171
133;90
134;120
135;51
136;77
137;56
138;106
139;136
140;102
141;78
142;134
143;49
144;130
145;64
146;130
147;98
148;75
149;358
150;142
151;277
152;178
153;184
154;58
155;160
156;111
157;79
158;125
159;155
160;113
161;111
162;159
163;105
164;117
165;181
166;121
167;244
168;56
169;124
170;118
171;99
172;209
173;107
174;105
175;196
176;51
177;135
178;51
179;132
180;53
181;154
182;175
183;65
184;167
185;177
186;142
187;215
188;66
189;71
190;55
191;104
192;68
193;279
194;71
195;288
196;57
197;98
198;121
199;102
200;101
201;122
202;55
203;57
204;54
205;100
206;108
207;172
208;98
209;123
210;121
211;255
212;153
213;146
214;111
215;86
216;93
217;292
218;226
219;181
220;87
221;130
222;128
223;68
224;55
225;134
226;145
227;126
228;56
229;82
230;121
231;116
232;161
233;350
234;98
235;171
236;129
237;116
238;98
239;54
240;177
241;362
242;147
243;211
244;147
245;311
246;67
247;340
248;105
249;142
250;152
251;75
252;117
253;170
254;77
255;102
256;152
257;200
258;109
259;358
260;127
261;255
262;80
263;83
264;218
265;54
266;175
267;51
268;205
269;72
270;93
271;77
272;55
273;124
274;154
275;109
276;48
277;147
278;96
279;56
280;135
281;128
282;146
283;173
284;137
285;114
286;106
287;118
288;48
289;182
290;306
291;140
292;130
293;114
294;74
295;139
296;64
297;68
298;118
299;175
300;345
301;126
302;50
303;137
304;181
305;88
306;131
307;230
308;114
309;102
310;90
311;65
312;70
313;269
314;55
315;144
316;112
317;259
318;255
319;175
320;351
321;370
