Ziffer-Index;Erkannt als;Richtige Antwort:
8;8;5
18;8;3
44;1;3
51;2;3
62;5;9
63;2;3
64;2;7
65;5;4
92;4;9
95;6;4
97;9;7
98;5;6
104;5;9
131;5;6
149;3;2
151;5;9
158;2;3
164;4;6
171;2;7
173;2;3
184;2;8
185;4;9
195;5;3
200;2;3
213;7;3
241;8;9
245;5;3
247;6;4
250;9;4
257;2;8
259;0;6
261;7;5
266;0;8
287;7;4
290;9;8
300;6;4
310;2;3
313;5;3
321;7;2
324;6;0
326;6;2
335;2;3
338;0;8
340;1;5
341;5;6
349;7;3
360;7;4
362;3;2
376;9;4
381;7;3
387;5;2
402;2;3
408;2;3
412;3;5
414;3;9
428;8;4
432;5;4
435;7;8
437;5;3
445;0;6
447;9;4
448;8;9
449;5;3
453;2;3
456;8;2
462;5;6
464;7;3
468;2;7
479;5;9
490;6;0
493;2;3
502;2;5
505;2;3
508;5;6
522;3;7
524;2;3
528;2;3
531;2;3
532;9;4
543;5;8
553;6;8
565;7;4
569;5;3
571;9;4
577;7;3
578;2;3
582;2;8
591;0;8
597;9;0
603;5;8
613;7;2
619;8;1
627;7;9
628;9;3
629;4;2
630;5;9
637;2;3
646;6;2
657;2;3
659;3;2
668;9;4
674;3;5
677;2;3
684;9;7
687;2;3
691;5;8
707;9;4
712;9;4
716;7;1
717;5;0
720;8;5
727;2;3
739;2;5
740;9;4
748;9;4
752;9;4
760;9;4
774;5;4
782;2;3
795;1;3
801;2;3
810;2;7
811;2;3
823;8;2
829;8;4
841;9;7
844;5;8
849;2;3
877;6;8
881;9;4
882;4;9
883;5;3
890;2;3
894;2;3
926;8;2
927;2;3
930;2;7
936;5;8
938;5;3
940;5;6
951;7;5
952;4;6
956;6;1
958;2;3
959;5;4
965;0;6
982;2;3
989;5;6
1012;5;7
1014;5;6
1039;3;7
1050;3;2
1062;7;3
1066;7;3
1068;9;8
1082;3;5
1092;1;3
1101;9;8
1107;5;9
1109;2;3
1112;6;4
1114;2;3
1118;2;8
1119;2;7
1124;2;8
1125;9;8
1127;7;3
1128;5;3
1135;7;5
1143;2;7
1153;5;6
1156;5;7
1157;9;4
1159;8;4
1166;2;3
1178;0;4
1181;1;6
1182;5;6
1191;9;0
1192;5;9
1197;8;0
1198;9;8
1202;5;8
1208;9;3
1209;4;6
1215;2;3
1224;4;2
1226;2;7
1242;3;4
1247;5;9
1248;2;8
1260;1;7
1265;2;3
1269;5;2
1270;7;4
1273;8;0
1281;7;5
1283;2;7
1291;2;3
1299;7;5
1310;7;3
1326;1;7
1327;5;9
1328;9;7
1337;6;2
1356;5;2
1378;2;5
1383;2;3
1384;5;3
1388;0;6
1409;8;2
1414;5;9
1415;5;8
1422;7;4
1444;0;6
1453;9;4
1458;5;6
1463;7;3
1465;6;4
1469;2;3
1472;2;3
1489;2;3
1490;2;3
1492;7;9
1494;9;7
1495;2;3
1500;1;7
1523;5;8
1530;7;8
1549;6;4
1553;5;9
1554;7;9
1558;8;0
1559;7;9
1569;4;6
1570;2;0
1571;5;4
1575;9;4
1586;7;3
1596;5;9
1597;7;9
1601;2;3
1607;1;3
1609;4;2
1611;2;3
1612;2;3
1614;9;4
1616;0;6
1617;2;3
1621;6;0
1637;6;5
1642;8;2
1654;5;2
1678;5;2
1681;7;3
1684;7;5
1686;5;8
1689;5;2
1690;2;3
1691;6;1
1709;5;9
1717;0;8
1718;3;7
1721;9;7
1722;5;2
1727;7;3
1730;2;3
1732;5;9
1735;5;4
1751;5;4
1754;1;7
1761;7;5
1765;2;3
1767;5;4
1779;2;3
1789;2;3
1790;9;2
1813;0;8
1823;5;8
1828;5;3
1847;0;5
1850;5;8
