Ziffer-Index;Falsch erkannt von
0;108
1;124
2;33
3;113
4;121
5;33
6;128
7;131
8;141
9;125
10;109
11;118
12;120
13;110
14;32
15;135
16;126
17;107
18;131
19;125
20;123
21;118
22;126
23;132
24;123
25;109
26;111
27;121
28;113
29;32
30;127
31;37
32;118
33;133
34;114
35;118
36;112
37;35
38;130
39;34
40;35
41;110
42;126
43;129
44;133
45;135
46;47
47;120
48;129
49;120
50;117
51;122
52;134
53;135
54;118
55;121
56;121
57;34
58;125
59;140
60;115
61;130
62;127
63;123
64;120
65;128
66;124
67;127
68;122
69;112
70;107
71;110
72;122
73;129
74;37
75;115
76;120
77;123
78;126
79;112
80;119
81;116
82;118
83;112
84;127
85;123
86;110
87;123
88;116
89;32
90;119
91;117
92;136
93;126
94;42
95;136
96;45
97;131
98;119
99;123
100;117
101;108
102;135
103;123
104;132
105;124
106;123
107;38
108;124
109;127
110;124
111;117
112;127
113;121
114;123
115;129
116;127
117;123
118;125
119;124
120;134
121;134
122;116
123;118
124;114
125;126
126;114
127;134
128;121
129;133
130;116
131;117
132;133
133;127
134;121
135;34
136;117
137;35
138;117
139;136
140;118
141;112
142;115
143;33
144;120
145;31
146;122
147;120
148;113
149;129
150;125
151;133
152;136
153;133
154;31
155;133
156;116
157;119
158;126
159;128
160;127
161;118
162;133
163;127
164;121
165;135
166;126
167;134
168;31
169;126
170;123
171;128
172;126
173;124
174;122
175;120
176;33
177;122
178;32
179;124
180;34
181;125
182;135
183;107
184;133
185;133
186;124
187;134
188;108
189;40
190;37
191;45
192;114
193;123
194;111
195;134
196;32
197;117
198;127
199;123
200;129
201;115
202;37
203;33
204;33
205;128
206;124
207;135
208;119
209;122
210;128
211;137
212;124
213;133
214;121
215;117
216;119
217;124
218;139
219;134
220;113
221;125
222;131
223;111
224;37
225;122
226;125
227;127
228;33
229;112
230;124
231;124
232;126
233;128
234;112
235;121
236;124
237;121
238;121
239;31
240;133
241;140
242;123
243;119
244;131
245;134
246;112
247;142
248;121
249;127
250;132
251;34
252;122
253;133
254;110
255;114
256;127
257;125
258;121
259;124
260;123
261;140
262;111
263;107
264;126
265;35
266;128
267;35
268;133
269;120
270;116
271;114
272;33
273;123
274;122
275;125
276;32
277;120
278;123
279;31
280;122
281;123
282;121
283;137
284;128
285;125
286;117
287;128
288;35
289;135
290;136
291;121
292;121
293;128
294;111
295;127
296;108
297;109
298;120
299;121
300;138
301;128
302;32
303;122
304;128
305;111
306;120
307;118
308;129
309;126
310;121
311;110
312;111
313;130
314;32
315;124
316;117
317;132
318;129
319;133
320;134
321;140
322;122
323;122
324;126
325;131
326;131
327;110
328;118
329;33
330;31
331;128
332;33
333;136
334;119
335;124
336;125
337;109
338;133
339;119
340;143
341;132
342;35
343;120
344;125
345;35
346;126
347;134
348;32
349;128
350;37
351;134
352;137
353;118
354;34
355;122
356;134
357;32
358;122
359;125
360;126
361;115
362;134
363;128
364;132
365;120
366;116
367;135
368;117
369;120
370;112
371;125
372;118
373;124
374;124
375;133
376;131
377;35
378;34
379;123
380;112
381;129
382;120
383;107
384;118
385;35
386;120
387;129
388;35
389;124
390;124
391;121
392;116
393;34
394;129
395;133
396;119
397;133
398;122
399;128
400;128
401;124
402;126
403;127
404;129
405;127
406;137
407;110
408;121
409;37
410;111
411;110
412;138
413;106
414;121
415;108
416;34
417;121
418;120
419;31
420;127
421;126
422;123
423;122
424;109
425;122
426;122
427;32
428;131
429;126
430;33
431;130
432;127
433;134
434;124
435;134
436;123
437;120
438;107
439;116
440;109
441;116
442;122
443;133
444;127
445;135
446;118
447;139
448;136
449;131
450;126
451;121
452;125
453;127
454;126
455;32
456;130
457;120
458;120
459;111
460;139
461;119
462;121
463;117
464;131
465;124
466;120
467;124
468;129
469;134
470;121
471;130
472;118
473;33
474;125
475;126
476;35
477;122
478;134
479;136
480;33
481;121
482;114
483;139
484;124
485;116
486;128
487;123
488;127
489;32
490;123
491;134
492;121
493;121
494;108
495;135
496;120
497;128
498;121
499;119
500;118
501;128
502;140
503;121
504;34
505;124
506;36
507;130
508;124
509;135
510;122
511;134
512;124
513;121
514;123
515;126
516;121
517;115
518;132
519;129
520;131
521;122
522;123
523;38
524;128
525;109
526;119
527;133
528;131
529;32
530;126
531;134
532;129
533;122
534;117
535;121
536;127
537;32
538;129
539;124
540;133
541;123
542;137
543;141
544;125
545;115
546;109
547;127
548;125
549;124
550;116
551;126
552;130
553;138
554;108
555;127
556;123
557;117
558;122
559;121
560;124
561;115
562;123
563;125
564;116
565;136
566;121
567;124
568;117
569;132
570;135
571;132
572;122
573;119
574;123
575;122
576;122
577;131
578;125
579;110
580;118
581;112
582;141
583;133
584;34
585;111
586;110
587;116
588;136
589;124
590;117
591;131
592;109
593;126
594;117
595;118
596;125
597;119
598;123
599;121
600;116
