Index-Nr;Modell-Nr;Kernel;Stride;Lernrate;Mini Batch;Trainingszeit (s);Train-Cost;Val.-Cost;Test-Cost;Train-Quote;Val.-Quote;Test-Quote
1;1;2x2;1x1;1;8;35.4;0.0027;0.0039;0.0037;0.9836;975;975
2;1;2x2;1x2;1;8;23.5;0.0046;5;0.0053;0.9707;0.9682;965
3;1;2x2;2x1;1;8;23.6;5;0.0055;0.0054;0.9683;0.9636;0.9643
4;1;2x2;2x2;1;8;17.0;0.0072;0.0071;0.0073;0.9535;0.9549;0.9504
5;1;2x3;1x1;1;8;44.9;0.0029;0.0038;0.0037;0.9819;975;976
6;1;2x3;1x2;1;8;26.4;0.0038;0.0039;0.0042;0.9752;0.9736;0.9733
7;1;2x3;2x1;1;8;25.8;0.0047;0.0052;0.0051;0.9713;0.9669;0.9663
8;1;2x3;2x2;1;8;18.6;0.0059;0.0062;0.0059;0.9608;0.9597;0.9611
9;1;3x2;1x1;1;8;45.6;0.0028;0.0037;0.0039;0.9825;0.9775;0.9745
10;1;3x2;1x2;1;8;26.9;0.0036;0.0043;0.0043;0.9775;0.9722;0.9713
11;1;3x2;2x1;1;8;26.5;0.0047;5;0.0052;0.9693;0.9677;0.9663
12;1;3x2;2x2;1;8;18.9;0.0054;0.0055;0.0055;0.9658;0.9647;0.9634
13;1;3x3;1x1;1;8;56.3;0.0023;0.0031;3;0.9855;0.9798;981
14;1;3x3;1x2;1;8;30.0;0.0033;0.0036;0.0035;0.9791;0.9752;0.9764
15;1;3x3;2x1;1;8;29.5;0.0033;0.0037;0.0037;0.9785;0.9766;0.9756
16;1;3x3;2x2;1;8;23.5;0.0049;0.0048;0.0048;0.9677;0.9685;0.9686
17;1;2x2;1x1;1;32;20.1;0.0059;0.0059;0.0061;0.9628;0.9618;0.96
18;1;2x2;1x2;1;32;12.6;0.0069;0.0063;0.0067;0.9576;0.9605;0.9565
19;1;2x2;2x1;1;32;12.3;0.0085;0.0083;0.0086;0.9464;946;0.9452
20;1;2x2;2x2;1;32;7.7;0.0137;0.0126;0.0132;0.9112;0.9168;0.9123
21;1;2x3;1x1;1;32;24.3;0.0037;0.0039;0.0041;0.9775;0.9736;0.9732
22;1;2x3;1x2;1;32;15.2;0.0074;0.0068;7;0.9531;0.9566;0.9552
23;1;2x3;2x1;1;32;15.0;0.0063;0.0064;0.0063;0.9602;0.9597;0.9594
24;1;2x3;2x2;1;32;9.0;0.0099;0.0093;0.0091;0.9356;0.9397;0.9408
25;1;3x2;1x1;1;32;24.8;0.0045;0.0045;0.0047;0.9714;0.9717;0.9697
26;1;3x2;1x2;1;32;15.8;0.0058;0.0055;0.0058;0.9643;0.9655;0.9611
27;1;3x2;2x1;1;32;15.3;0.0047;0.0048;0.0049;0.9709;0.9701;0.9676
28;1;3x2;2x2;1;32;9.1;0.0082;0.0077;0.0081;0.9481;0.9516;0.9484
29;1;3x3;1x1;1;32;27.0;0.0042;0.0041;0.0044;973;0.9738;0.9711
30;1;3x3;1x2;1;32;18.6;0.0042;0.0041;0.0043;0.9733;0.9738;973
31;1;3x3;2x1;1;32;17.7;0.0045;0.0045;0.0045;0.9717;0.9719;0.9712
32;1;3x3;2x2;1;32;10.1;0.0094;0.0088;0.0087;0.9385;0.9415;0.9429
33;1;2x2;1x1;1;128;16.3;0.0132;0.0119;0.0124;0.9129;0.9217;0.9181
34;1;2x2;1x2;1;128;7.2;0.0158;0.0141;0.0149;0.8939;0.9069;0.9018
35;1;2x2;2x1;1;128;7.2;15;14;0.0145;0.9017;0.9084;0.9042
36;1;2x2;2x2;1;128;4.5;0.0211;0.0191;0.0203;0.8597;0.8735;0.8648
37;1;2x3;1x1;1;128;18.8;0.0111;0.0102;0.0106;0.9264;0.9331;0.9317
38;1;2x3;1x2;1;128;7.6;0.0119;0.0106;0.0109;0.9217;0.9296;928
39;1;2x3;2x1;1;128;7.6;13;12;0.0124;917;0.9228;0.9206
40;1;2x3;2x2;1;128;5.4;0.0181;0.0163;0.0168;0.8814;0.8929;891
41;1;3x2;1x1;1;128;19.4;0.0092;0.0085;0.0087;0.9411;0.9454;943
42;1;3x2;1x2;1;128;7.9;0.0115;0.0104;0.0107;926;0.9331;0.9313
43;1;3x2;2x1;1;128;7.9;0.0107;0.0098;0.01;0.9332;0.9393;0.9394
44;1;3x2;2x2;1;128;5.4;0.0163;0.0148;0.0153;0.8945;904;0.9018
45;1;3x3;1x1;1;128;24.7;0.0055;5;0.0053;0.9664;0.9699;0.9674
46;1;3x3;1x2;1;128;9.8;0.0082;0.0074;0.0075;0.9475;0.9531;0.9518
47;1;3x3;2x1;1;128;9.5;0.0087;0.0082;0.0083;0.9462;0.9487;948
48;1;3x3;2x2;1;128;5.8;0.0173;0.0156;0.0165;0.8867;0.9007;0.8948
49;1;2x2;1x1;0.1;8;43.4;0.0085;0.0079;0.0085;0.9473;0.9511;946
50;1;2x2;1x2;0.1;8;31.0;0.0127;0.0114;0.0121;0.9169;0.9264;0.9209
51;1;2x2;2x1;0.1;8;30.6;0.0154;0.0144;0.0148;0.8983;0.9026;0.9026
52;1;2x2;2x2;0.1;8;23.0;18;0.0165;0.0173;0.8807;0.8913;0.8853
53;1;2x3;1x1;0.1;8;50.0;0.0069;0.0065;0.0068;0.9575;0.9601;0.9573
54;1;2x3;1x2;0.1;8;34.2;0.01;0.0091;0.0094;0.9351;0.9407;0.9398
55;1;2x3;2x1;0.1;8;33.8;0.0106;0.01;0.0101;0.9324;0.9355;0.9361
56;1;2x3;2x2;0.1;8;24.6;0.0143;0.0129;0.0133;0.9074;918;916
57;1;3x2;1x1;0.1;8;49.2;0.0064;0.0058;6;0.9618;0.9656;0.9615
58;1;3x2;1x2;0.1;8;32.3;0.0094;0.0084;0.0089;0.9397;0.9473;0.9416
59;1;3x2;2x1;0.1;8;31.8;0.0085;0.0081;0.0081;0.9465;949;0.9484
60;1;3x2;2x2;0.1;8;23.2;0.0119;0.0109;0.0114;0.9248;0.9319;0.9254
61;1;3x3;1x1;0.1;8;58.4;0.0046;0.0044;0.0044;0.9725;0.9725;0.9727
62;1;3x3;1x2;0.1;8;33.5;0.0061;0.0056;0.0057;0.9622;966;0.9647
63;1;3x3;2x1;0.1;8;32.7;0.0073;0.0066;0.0067;0.9546;0.9587;0.9584
64;1;3x3;2x2;0.1;8;26.0;0.0093;0.0085;0.0088;0.9413;0.9451;0.9449
65;1;2x2;1x1;0.1;32;22.1;0.0123;0.0112;0.0116;0.9207;0.9263;0.9251
66;1;2x2;1x2;0.1;32;14.1;0.0158;0.0138;0.0145;0.8969;0.9112;0.9034
