Index-Nr;Modell-Nr;Aktf.;Bias;Lernrate;Mini Batch;Trainingszeit (s);Train-Cost;Val.-Cost;Test-Cost;Train-Quote;Val.-Quote;Test-Quote
1;1;relu;False;1;8;12.8;0.0131;0.0125;0.0139;0.9172;0.9205;0.9131
2;1;relu;True;1;8;13.1;0.0125;0.0121;0.0127;0.9198;0.9217;0.9191
3;1;$\sigma$;False;1;8;12.9;0.0119;0.0112;0.0118;0.9241;0.9273;924
4;1;$\sigma$;True;1;8;13.4;0.0131;0.0125;0.0136;0.9153;0.9184;0.9106
5;1;tanh;False;1;8;13.1;0.0121;0.0116;0.0124;922;0.9224;0.9219
6;1;tanh;True;1;8;13.4;0.0119;0.0116;0.0122;0.9221;0.9255;0.9196
7;1;relu;False;1;32;3.8;12;0.0117;0.0121;0.9241;0.9226;0.9219
8;1;relu;True;1;32;4.0;0.0125;0.0117;0.0124;0.9199;0.9236;0.9179
9;1;$\sigma$;False;1;32;3.9;0.0183;0.0166;0.0175;0.8937;0.9068;0.8996
10;1;$\sigma$;True;1;32;4.0;0.0179;0.0165;17;0.8943;0.9026;0.9009
11;1;tanh;False;1;32;4.0;13;0.0123;0.0132;0.9159;0.9204;0.9132
12;1;tanh;True;1;32;4.1;0.0124;0.0118;0.0124;0.9212;0.9224;0.9206
13;1;relu;False;1;128;1.6;15;0.0137;0.0142;0.9041;0.9111;0.9099
14;1;relu;True;1;128;1.6;0.0148;0.0137;14;0.9072;0.9117;0.9105
15;1;$\sigma$;False;1;128;1.7;52;0.0509;0.0515;684;0.6988;0.6871
16;1;$\sigma$;True;1;128;1.7;0.0491;0.0481;0.0486;0.6705;0.6853;0.68
17;1;tanh;False;1;128;1.7;18;0.0163;0.0174;891;0.9046;0.8958
18;1;tanh;True;1;128;1.8;0.0177;0.0161;0.0168;0.8936;0.9031;0.8998
19;1;relu;False;0.1;8;14.0;0.0134;0.0124;0.0129;0.9154;0.9188;0.9166
20;1;relu;True;0.1;8;14.3;0.0146;0.0134;0.0141;0.9054;0.9121;0.9076
21;1;$\sigma$;False;0.1;8;14.0;34;0.0322;0.0329;0.8262;0.8392;0.8375
22;1;$\sigma$;True;0.1;8;14.4;0.0335;0.0315;0.0327;0.8245;0.8454;0.8368
23;1;tanh;False;0.1;8;14.1;0.0152;0.0137;0.0144;0.9065;0.9143;0.9087
24;1;tanh;True;0.1;8;14.5;0.0158;0.0144;0.0153;0.9021;0.9101;0.9041
25;1;relu;False;0.1;32;4.3;0.0215;0.0197;0.0203;866;0.8789;0.8739
26;1;relu;True;0.1;32;4.5;0.0189;17;0.0176;0.8844;0.8965;0.8946
27;1;$\sigma$;False;0.1;32;4.4;0.0759;0.0758;0.0758;0.3981;0.4071;0.4013
28;1;$\sigma$;True;0.1;32;4.5;0.0751;0.0748;0.0747;0.4539;0.4663;0.4601
29;1;tanh;False;0.1;32;4.5;0.0271;0.0248;0.0261;0.8525;0.87;0.8633
30;1;tanh;True;0.1;32;4.6;0.0278;0.0257;0.0269;0.8495;0.8679;0.8556
31;1;relu;False;0.1;128;2.0;0.0598;0.0588;0.0592;0.5996;0.6049;0.6067
32;1;relu;True;0.1;128;2.1;0.0414;0.0395;0.0402;0.7614;0.7835;0.7704
33;1;$\sigma$;False;0.1;128;2.0;0.0867;0.0867;0.0865;0.3723;0.3758;0.3894
34;1;$\sigma$;True;0.1;128;2.1;0.0868;0.0868;0.0867;274;279;0.2926
35;1;tanh;False;0.1;128;2.1;0.0583;0.0574;0.0573;0.6265;0.6424;0.6447
36;1;tanh;True;0.1;128;2.2;0.0605;0.0592;0.0599;0.6447;0.6713;0.6563
37;1;relu;False;0.01;8;15.1;0.0358;0.0337;0.0342;808;0.8283;0.8208
38;1;relu;True;0.01;8;15.4;0.0656;0.0643;0.0652;0.5338;0.5458;0.5344
39;1;$\sigma$;False;0.01;8;15.1;0.0837;0.0835;0.0836;515;0.5419;0.5289
40;1;$\sigma$;True;0.01;8;15.5;0.0858;0.0856;0.0856;0.4225;0.4373;0.4302
41;1;tanh;False;0.01;8;15.3;0.0439;0.0424;0.0431;0.7138;0.7315;0.7239
42;1;tanh;True;0.01;8;15.6;0.0435;0.0413;0.0426;0.7859;0.8108;0.7963
43;1;relu;False;0.01;32;4.8;0.0801;0.0794;0.0799;0.2967;0.3065;0.3026
44;1;relu;True;0.01;32;5.0;0.0795;0.0796;0.0788;0.3256;321;0.34
45;1;$\sigma$;False;0.01;32;4.9;0.0892;0.0893;0.0891;165;0.1538;0.1653
46;1;$\sigma$;True;0.01;32;5.1;0.0891;89;89;0.2255;0.2254;0.2239
47;1;tanh;False;0.01;32;5.0;0.0783;0.0781;0.0779;0.4464;454;0.4498
48;1;tanh;True;0.01;32;5.1;0.0724;0.0721;72;0.5129;0.5191;0.5171
49;1;relu;False;0.01;128;2.4;0.0877;0.0876;0.0876;0.2013;203;0.21
50;1;relu;True;0.01;128;2.4;0.0885;0.0886;0.0886;0.2064;0.1983;0.2073
51;1;$\sigma$;False;0.01;128;2.4;0.0912;0.0912;0.0912;0.1552;0.1613;0.1578
52;1;$\sigma$;True;0.01;128;2.5;0.0909;0.0908;0.0908;0.1323;0.1428;0.1375
53;1;tanh;False;0.01;128;2.5;87;0.0869;0.0869;0.2395;0.2448;0.2365
54;1;tanh;True;0.01;128;2.5;0.0875;0.0874;0.0875;0.2451;0.2491;0.2446
55;2;relu;False;1;8;19.8;0.0033;0.0044;0.0045;0.9797;0.9704;0.9707
56;2;relu;True;1;8;20.4;0.0044;0.0048;0.0053;973;0.9695;0.9656
57;2;$\sigma$;False;1;8;19.4;0.0088;0.0083;0.0089;0.9439;0.9476;943
58;2;$\sigma$;True;1;8;19.8;0.0089;0.0084;0.0089;0.9436;0.9477;0.9438
59;2;tanh;False;1;8;19.3;0.0052;0.0059;0.0063;968;0.9627;0.9593
60;2;tanh;True;1;8;19.9;0.0045;0.0053;0.0053;0.9722;965;0.9656
61;2;relu;False;1;32;7.0;0.0072;7;0.0075;0.9555;0.9565;0.9527
62;2;relu;True;1;32;7.2;0.0072;0.0073;0.0076;0.9556;0.9549;0.9527
63;2;$\sigma$;False;1;32;7.2;0.0138;0.0125;0.0129;0.9127;0.9213;0.9179
64;2;$\sigma$;True;1;32;7.2;0.0138;0.0126;13;913;0.9201;0.9193
65;2;tanh;False;1;32;7.2;0.0083;0.0078;0.0084;0.9492;0.9523;947
66;2;tanh;True;1;32;7.2;0.0085;0.0082;0.0086;946;0.9485;0.9439
67;2;relu;False;1;128;3.2;0.0121;11;0.0116;0.9242;0.9323;0.9276
68;2;relu;True;1;128;3.3;0.0126;0.0116;0.0121;0.9206;0.9279;0.9239
69;2;$\sigma$;False;1;128;3.3;0.0231;21;0.0217;0.8752;0.8874;886
70;2;$\sigma$;True;1;128;3.3;0.0236;0.0213;0.0222;0.8729;888;0.8815
71;2;tanh;False;1;128;3.3;0.0134;0.0122;0.0128;0.9164;0.9218;0.9199
72;2;tanh;True;1;128;3.5;0.0132;0.0121;0.0125;0.9169;0.9221;0.92
73;2;relu;False;0.1;8;20.5;0.0102;0.0095;0.01;937;0.9421;0.9369
74;2;relu;True;0.1;8;20.9;0.0103;0.0097;0.0102;936;0.9378;0.9348
75;2;$\sigma$;False;0.1;8;20.9;0.0185;0.0164;0.0173;0.8922;0.9055;0.9002
76;2;$\sigma$;True;0.1;8;21.0;0.0184;0.0165;0.0173;0.8913;0.9049;0.8995
77;2;tanh;False;0.1;8;20.8;0.0117;0.0108;0.0113;0.9272;0.9312;0.9286
78;2;tanh;True;0.1;8;21.4;0.0117;0.0108;0.0113;0.9267;0.9302;0.9271
79;2;relu;False;0.1;32;7.7;0.0166;0.0149;0.0155;0.8974;0.9074;0.9045
80;2;relu;True;0.1;32;7.7;0.0163;0.0146;0.0153;0.9005;0.9096;0.9046
81;2;$\sigma$;False;0.1;32;7.6;0.0455;0.0439;0.0446;0.7768;0.8005;0.7897
82;2;$\sigma$;True;0.1;32;7.8;0.0451;0.0434;0.0442;0.7581;0.7794;0.7691
83;2;tanh;False;0.1;32;7.7;0.0168;15;0.0158;0.8968;0.9083;905
84;2;tanh;True;0.1;32;7.7;0.0169;0.0151;0.0158;0.8971;0.9082;0.9049
85;2;relu;False;0.1;128;3.9;0.0316;0.0292;0.03;0.8378;0.8531;0.8491
86;2;relu;True;0.1;128;3.7;0.0312;0.0288;0.0295;0.84;0.8576;0.8539
87;2;$\sigma$;False;0.1;128;3.7;0.0815;0.0813;0.0814;437;0.4437;0.4344
88;2;$\sigma$;True;0.1;128;3.9;0.0817;0.0817;0.0816;0.3635;0.3637;0.3701
89;2;tanh;False;0.1;128;3.8;0.0287;0.0264;0.0272;0.8468;0.8654;0.8611
90;2;tanh;True;0.1;128;3.9;0.0297;0.0273;0.0282;0.8394;0.8579;0.8531
91;2;relu;False;0.01;8;22.3;0.0243;0.0219;0.0227;0.8635;0.8809;0.8743
92;2;relu;True;0.01;8;22.4;0.0239;0.0215;0.0223;0.8637;0.8816;0.8752
93;2;$\sigma$;False;0.01;8;22.1;0.0745;0.0742;0.0741;477;0.4921;0.4923
94;2;$\sigma$;True;0.01;8;22.5;73;0.0728;0.0724;0.5186;0.53;0.5335
95;2;tanh;False;0.01;8;22.2;23;0.0207;0.0216;0.8692;0.8842;0.8807
96;2;tanh;True;0.01;8;22.7;0.0233;21;0.0217;0.8685;0.8815;881
97;2;relu;False;0.01;32;8.2;0.0629;62;62;0.6197;0.6374;0.6354
98;2;relu;True;0.01;32;8.2;0.0609;0.0594;0.0599;0.6719;0.7033;0.6889
99;2;$\sigma$;False;0.01;32;8.2;87;87;87;0.3576;0.3672;0.3637
100;2;$\sigma$;True;0.01;32;8.4;87;87;87;0.3601;0.3649;0.3595
101;2;tanh;False;0.01;32;8.3;0.0552;0.0533;54;0.6863;717;705
102;2;tanh;True;0.01;32;8.3;0.0495;0.0473;0.0485;0.7413;0.7677;0.7592
103;2;relu;False;0.01;128;3.9;0.0856;0.0856;0.0856;328;0.3266;0.3332
104;2;relu;True;0.01;128;4.1;0.0848;0.0845;0.0848;323;0.3322;0.3259
105;2;$\sigma$;False;0.01;128;4.1;0.0912;0.0911;0.0911;0.1174;127;0.1213
106;2;$\sigma$;True;0.01;128;4.2;0.0918;0.0918;0.0919;0.0659;0.0623;65
107;2;tanh;False;0.01;128;4.1;0.0851;0.0852;0.0851;0.3099;0.3044;0.3171
108;2;tanh;True;0.01;128;4.1;0.0813;0.0811;81;0.3746;0.3841;0.3814
109;3;relu;False;1;8;95.4;0.0027;4;0.0039;0.9846;0.9738;0.9755
110;3;relu;True;1;8;86.6;0.0035;0.0042;0.0044;0.9787;0.9729;0.9717
111;3;$\sigma$;False;1;8;87.3;0.0134;0.0126;0.0133;0.9122;0.9168;911
112;3;$\sigma$;True;1;8;93.4;0.0127;0.0116;0.0123;0.9165;0.9227;0.9174
113;3;tanh;False;1;8;87.1;0.0086;0.0083;9;946;0.9475;0.9434
114;3;tanh;True;1;8;81.8;0.0091;0.0088;0.0096;0.9427;0.9429;0.9389
115;3;relu;False;1;32;27.7;0.0057;0.0058;0.0062;0.9658;0.9645;0.9616
116;3;relu;True;1;32;27.9;0.0057;0.0058;0.0061;0.9662;0.9639;0.9609
117;3;$\sigma$;False;1;32;25.3;16;0.0144;0.0151;0.8991;0.9082;0.9046
118;3;$\sigma$;True;1;32;26.1;0.0169;0.0155;0.0158;0.8881;0.8949;0.8963
119;3;tanh;False;1;32;25.8;0.0107;0.0106;0.0107;0.9319;0.9305;932
120;3;tanh;True;1;32;26.0;0.0106;0.0102;0.0108;0.9319;932;0.9298
121;3;relu;False;1;128;9.9;0.0111;0.0102;0.0108;0.9321;0.9344;0.9322
122;3;relu;True;1;128;10.0;0.0111;0.0103;0.0108;0.9317;0.9343;0.9326
123;3;$\sigma$;False;1;128;10.0;0.0205;0.0184;0.0191;0.8761;0.8915;0.8871
124;3;$\sigma$;True;1;128;10.3;0.0206;0.0185;0.0192;877;0.8915;0.8883
125;3;tanh;False;1;128;10.0;13;0.0119;0.0124;918;0.9211;922
126;3;tanh;True;1;128;10.1;13;12;0.0124;0.9168;0.9211;0.9188
127;3;relu;False;0.1;8;93.5;0.0092;0.0088;0.0091;0.9436;0.9457;0.9434
128;3;relu;True;0.1;8;94.1;0.0094;0.0089;0.0093;944;0.9451;0.9423
129;3;$\sigma$;False;0.1;8;93.9;0.0173;0.0155;16;0.8935;0.9044;0.9012
130;3;$\sigma$;True;0.1;8;83.1;0.0175;0.0156;0.0163;0.8916;0.9022;0.8984
131;3;tanh;False;0.1;8;89.5;0.0121;0.0113;0.0118;0.9235;0.9276;0.9247
132;3;tanh;True;0.1;8;95.4;0.0121;0.0113;0.0118;0.9232;0.9266;0.9236
133;3;relu;False;0.1;32;28.4;0.0147;0.0131;0.0138;0.9109;0.9217;0.9164
134;3;relu;True;0.1;32;28.8;0.0148;0.0134;0.0138;0.9112;0.9183;0.9184
135;3;$\sigma$;False;0.1;32;28.8;0.0347;0.0325;0.0334;0.8349;0.8558;0.8469
136;3;$\sigma$;True;0.1;32;29.1;0.0342;0.0319;0.0328;838;0.8577;851
137;3;tanh;False;0.1;32;28.6;0.0155;0.0139;0.0145;0.9037;0.9128;0.9087
138;3;tanh;True;0.1;32;25.8;0.0155;0.0138;0.0144;0.9038;0.9122;911
139;3;relu;False;0.1;128;11.0;0.0263;24;0.0248;0.8626;0.8787;0.8723
140;3;relu;True;0.1;128;11.1;26;0.0235;0.0244;0.8658;0.8815;0.8771
141;3;$\sigma$;False;0.1;128;11.1;0.0744;74;0.0741;0.5191;0.5327;0.5238
142;3;$\sigma$;True;0.1;128;11.3;0.0735;0.0732;0.0731;0.5264;0.5417;0.5408
143;3;tanh;False;0.1;128;11.1;0.0233;0.0208;0.0218;0.8672;0.8844;0.8797
144;3;tanh;True;0.1;128;11.3;23;0.0205;0.0214;0.8706;0.8871;884
145;3;relu;False;0.01;8;95.7;21;0.0188;0.0196;0.8828;0.8985;0.8923
146;3;relu;True;0.01;8;97.3;0.0207;0.0186;0.0194;0.8848;0.8985;0.8941
147;3;$\sigma$;False;0.01;8;95.7;0.0619;61;0.0613;0.6755;0.6966;0.6922
148;3;$\sigma$;True;0.01;8;89.1;63;0.0622;0.0624;0.6413;0.6575;0.6546
149;3;tanh;False;0.01;8;96.8;0.0197;0.0175;0.0182;0.8833;0.8975;0.8935
150;3;tanh;True;0.01;8;84.9;0.0195;0.0174;0.0181;0.8846;0.8996;0.8948
151;3;relu;False;0.01;32;29.3;0.0514;0.05;0.05;0.7573;0.7823;0.7715
152;3;relu;True;0.01;32;29.4;49;0.0475;0.0479;0.7431;0.7641;0.7592
153;3;$\sigma$;False;0.01;32;26.5;0.0848;0.0847;0.0847;0.3655;0.3673;0.3716
154;3;$\sigma$;True;0.01;32;26.9;0.0874;0.0874;0.0874;0.2662;0.2684;0.2756
155;3;tanh;False;0.01;32;26.3;0.0353;33;34;0.8306;0.8497;0.8425
156;3;tanh;True;0.01;32;26.8;0.0352;0.0326;0.0337;0.8213;0.8428;0.8357
157;3;relu;False;0.01;128;12.1;0.0806;0.0805;0.0805;0.4767;0.4868;0.4755
158;3;relu;True;0.01;128;10.9;0.0826;0.0824;0.0825;0.4146;0.4334;0.4217
159;3;$\sigma$;False;0.01;128;10.9;0.0889;0.0889;0.0889;0.2834;0.2829;0.2871
160;3;$\sigma$;True;0.01;128;12.1;0.0892;0.0892;0.0891;0.2614;0.2662;0.2651
161;3;tanh;False;0.01;128;10.9;0.0737;0.0729;0.0734;0.5389;0.5552;545
162;3;tanh;True;0.01;128;11.0;0.0725;0.0719;0.0722;0.5769;0.5997;0.5779
163;4;relu;False;1;8;24.4;0.0151;0.0145;0.0147;0.9083;0.9108;0.9124
164;4;relu;True;1;8;24.8;0.1389;0.1357;0.1378;0.3046;321;0.3105
165;4;$\sigma$;False;1;8;24.8;0.0146;0.0137;0.0145;0.9082;0.9138;0.9062
166;4;$\sigma$;True;1;8;25.3;0.0144;0.0133;0.0143;0.9079;0.9134;0.9065
167;4;tanh;False;1;8;24.9;13;0.0125;0.0129;0.9162;0.9171;0.9165
